lon,lat,class_start,class_end,is_changed,transition_code,forest_loss,forest_gain,urbanization,mining_expansion
119.1368,-2.6658,0,0,0,0->0,0,0,0,0
119.2805,-2.6658,0,0,0,0->0,0,0,0,0
118.8538,-2.6613,1,2,1,1->2,0,0,1,0
118.8898,-2.6613,4,4,0,4->4,0,0,0,0
118.9976,-2.6613,0,0,0,0->0,0,0,0,0
119.0111,-2.6613,0,0,0,0->0,0,0,0,0
119.0515,-2.6613,0,0,0,0->0,0,0,0,0
119.2581,-2.6613,0,0,0,0->0,0,0,0,0
119.4198,-2.6613,0,0,0,0->0,0,0,0,0
118.9527,-2.6568,1,0,1,1->0,0,1,0,0
118.9572,-2.6568,0,0,0,0->0,0,0,0,0
119.0021,-2.6568,0,0,0,0->0,0,0,0,0
119.0964,-2.6568,0,0,0,0->0,0,0,0,0
119.1683,-2.6568,1,1,0,1->1,0,0,0,0
119.321,-2.6568,0,0,0,0->0,0,0,0,0
119.3973,-2.6568,0,0,0,0->0,0,0,0,0
119.4018,-2.6568,0,0,0,0->0,0,0,0,0
119.4063,-2.6568,0,0,0,0->0,0,0,0,0
118.8583,-2.6523,4,4,0,4->4,0,0,0,0
118.8673,-2.6523,4,4,0,4->4,0,0,0,0
118.9482,-2.6523,0,1,1,0->1,1,0,0,0
119.0111,-2.6523,0,0,0,0->0,0,0,0,0
119.056,-2.6523,0,0,0,0->0,0,0,0,0
119.1009,-2.6523,0,0,0,0->0,0,0,0,0
119.2895,-2.6523,0,0,0,0->0,0,0,0,0
119.4108,-2.6523,0,0,0,0->0,0,0,0,0
118.8628,-2.6478,4,4,0,4->4,0,0,0,0
118.9796,-2.6478,0,0,0,0->0,0,0,0,0
119.029,-2.6478,0,0,0,0->0,0,0,0,0
119.047,-2.6478,0,0,0,0->0,0,0,0,0
119.0784,-2.6478,0,0,0,0->0,0,0,0,0
119.2581,-2.6478,0,0,0,0->0,0,0,0,0
119.3255,-2.6478,0,0,0,0->0,0,0,0,0
118.8808,-2.6433,1,1,0,1->1,0,0,0,0
118.9167,-2.6433,4,4,0,4->4,0,0,0,0
119.0066,-2.6433,0,0,0,0->0,0,0,0,0
119.0335,-2.6433,0,0,0,0->0,0,0,0,0
119.038,-2.6433,0,0,0,0->0,0,0,0,0
119.1458,-2.6433,0,0,0,0->0,0,0,0,0
119.1728,-2.6433,0,0,0,0->0,0,0,0,0
119.2222,-2.6433,0,1,1,0->1,1,0,0,0
119.2491,-2.6433,0,0,0,0->0,0,0,0,0
119.294,-2.6433,0,0,0,0->0,0,0,0,0
119.2985,-2.6433,0,0,0,0->0,0,0,0,0
119.3255,-2.6433,0,0,0,0->0,0,0,0,0
118.8673,-2.6388,4,4,0,4->4,0,0,0,0
118.9572,-2.6388,0,0,0,0->0,0,0,0,0
119.0919,-2.6388,0,1,1,0->1,1,0,0,0
119.2042,-2.6388,0,0,0,0->0,0,0,0,0
119.2536,-2.6388,0,0,0,0->0,0,0,0,0
119.3389,-2.6388,0,0,0,0->0,0,0,0,0
118.9167,-2.6343,4,4,0,4->4,0,0,0,0
118.9392,-2.6343,4,4,0,4->4,0,0,0,0
118.9841,-2.6343,1,0,1,1->0,0,1,0,0
119.0111,-2.6343,0,0,0,0->0,0,0,0,0
119.0874,-2.6343,0,0,0,0->0,0,0,0,0
119.285,-2.6343,0,0,0,0->0,0,0,0,0
119.3075,-2.6343,0,0,0,0->0,0,0,0,0
119.3614,-2.6343,0,0,0,0->0,0,0,0,0
119.3839,-2.6343,0,0,0,0->0,0,0,0,0
118.9167,-2.6298,4,4,0,4->4,0,0,0,0
119.0919,-2.6298,0,0,0,0->0,0,0,0,0
119.2536,-2.6298,0,0,0,0->0,0,0,0,0
119.285,-2.6298,0,0,0,0->0,0,0,0,0
119.3973,-2.6298,0,0,0,0->0,0,0,0,0
119.0874,-2.6253,0,0,0,0->0,0,0,0,0
119.1189,-2.6253,0,0,0,0->0,0,0,0,0
119.2222,-2.6253,0,0,0,0->0,0,0,0,0
119.3389,-2.6253,0,0,0,0->0,0,0,0,0
118.9167,-2.6208,4,4,0,4->4,0,0,0,0
118.9751,-2.6208,4,4,0,4->4,0,0,0,0
119.1772,-2.6208,0,0,0,0->0,0,0,0,0
119.2356,-2.6208,1,1,0,1->1,0,0,0,0
119.3928,-2.6208,0,0,0,0->0,0,0,0,0
118.9257,-2.6163,4,4,0,4->4,0,0,0,0
118.9751,-2.6163,4,4,0,4->4,0,0,0,0
119.1413,-2.6163,0,1,1,0->1,1,0,0,0
119.2222,-2.6163,0,0,0,0->0,0,0,0,0
119.321,-2.6163,0,0,0,0->0,0,0,0,0
119.3749,-2.6163,0,0,0,0->0,0,0,0,0
119.3794,-2.6163,0,0,0,0->0,0,0,0,0
118.8853,-2.6119,4,4,0,4->4,0,0,0,0
118.9033,-2.6119,4,4,0,4->4,0,0,0,0
119.0066,-2.6119,1,0,1,1->0,0,1,0,0
119.065,-2.6119,1,0,1,1->0,0,1,0,0
119.1144,-2.6119,0,0,0,0->0,0,0,0,0
